shortPostcode,Town,District,County,Population2021,Population2022,Population2023,Population2024
S73,BARNSLEY,BARNSLEY,SOUTH YORKSHIRE,29114.353322581803,29230.472720636204,29362.253312301,29486.079842375
S71,BARNSLEY,BARNSLEY,SOUTH YORKSHIRE,48382.3776322404,48575.3454273636,48794.339072178,49000.11461775
S74,BARNSLEY,BARNSLEY,SOUTH YORKSHIRE,19086.962217477,19163.088468293,19249.481978265,19330.660916875
S75,BARNSLEY,BARNSLEY,SOUTH YORKSHIRE,46987.7684222226,47175.17397180341,47387.855182857,47587.699302875
S70,BARNSLEY,BARNSLEY,SOUTH YORKSHIRE,41858.7535609593,42025.7025985337,42215.1682977885,42393.1981564375
S72,BARNSLEY,BARNSLEY,SOUTH YORKSHIRE,27325.287411739802,27434.271317058203,27557.954041611,27674.171478624998
S63,BARNSLEY,BARNSLEY,SOUTH YORKSHIRE,41057.9849032752,41221.74016307681,41407.581335064,41582.205437
DN5,DONCASTER,BARNSLEY,SOUTH YORKSHIRE,44041.198422076806,44216.851901091206,44416.196022576,44603.508058
HD9,HOLMFIRTH,BARNSLEY,SOUTH YORKSHIRE,38140.514167944304,38292.633416398705,38465.269211113504,38627.484990812496
S63,ROTHERHAM,BARNSLEY,SOUTH YORKSHIRE,41057.9849032752,41221.74016307681,41407.581335064,41582.205437
S60,ROTHERHAM,BARNSLEY,SOUTH YORKSHIRE,40194.7067137665,40355.0188833985,40536.952590592504,40707.905075937495
S36,SHEFFIELD,BARNSLEY,SOUTH YORKSHIRE,29473.2442552989,29590.7950503901,29724.2000937105,29849.5530261875
S35,SHEFFIELD,BARNSLEY,SOUTH YORKSHIRE,44619.950466728704,44797.9122346583,44999.8759673715,45189.649498562496
S72,BARNSLEY,DONCASTER,SOUTH YORKSHIRE,27325.287411739802,27434.271317058203,27557.954041611,27674.171478624998
DN2,DONCASTER,DONCASTER,SOUTH YORKSHIRE,26459.853721133702,26565.3859393033,26685.1514425965,26797.688095437497
DN8,DONCASTER,DONCASTER,SOUTH YORKSHIRE,18639.695739766503,18714.0381173985,18798.407160592502,18877.6838259375
DN4,DONCASTER,DONCASTER,SOUTH YORKSHIRE,57568.0455588105,57797.64938079451,58058.220207172504,58303.063403437496
DN1,DONCASTER,DONCASTER,SOUTH YORKSHIRE,9414.1510428945,9451.698349550501,9494.3097165525,9534.3491309375
DN7,DONCASTER,DONCASTER,SOUTH YORKSHIRE,26523.441003507003,26629.226832563003,26749.280151615,26862.087248125
DN3,DONCASTER,DONCASTER,SOUTH YORKSHIRE,32406.881248860303,32536.132532642703,32682.8161267335,32820.6461383125
DN12,DONCASTER,DONCASTER,SOUTH YORKSHIRE,25994.265484095304,26097.940754757703,26215.5988613085,26326.1553164375
DN6,DONCASTER,DONCASTER,SOUTH YORKSHIRE,33569.7740909076,33703.663444968406,33855.610652682,33998.38657475
DN10,DONCASTER,DONCASTER,SOUTH YORKSHIRE,13025.693131588201,13077.6446768938,13136.603003349,13192.002701374999
DN11,DONCASTER,DONCASTER,SOUTH YORKSHIRE,30556.383556742403,30678.254333881603,30816.562001568,30946.521644
