shortPostcode,Town,District,County,AvgDownload
BD10,BRADFORD,BRADFORD,WEST YORKSHIRE,50.68407871198569
BD10,BRADFORD,LEEDS,WEST YORKSHIRE,50.68407871198569
BD11,BRADFORD,BRADFORD,WEST YORKSHIRE,37.60607287449393
BD11,BRADFORD,KIRKLEES,WEST YORKSHIRE,37.60607287449393
BD11,BRADFORD,LEEDS,WEST YORKSHIRE,37.60607287449393
BD11,BRADFORD,WAKEFIELD,WEST YORKSHIRE,37.60607287449393
BD12,BRADFORD,BRADFORD,WEST YORKSHIRE,51.46923076923077
BD12,BRADFORD,KIRKLEES,WEST YORKSHIRE,51.46923076923077
BD13,BRADFORD,BRADFORD,WEST YORKSHIRE,46.38830409356726
BD13,BRADFORD,CALDERDALE,WEST YORKSHIRE,46.38830409356726
BD14,BRADFORD,BRADFORD,WEST YORKSHIRE,54.74095238095238
BD15,BRADFORD,BRADFORD,WEST YORKSHIRE,47.72250712250713
BD16,BINGLEY,BRADFORD,WEST YORKSHIRE,48.59982993197279
BD17,SHIPLEY,BRADFORD,WEST YORKSHIRE,54.61399082568807
BD17,SHIPLEY,LEEDS,WEST YORKSHIRE,54.61399082568807
BD18,SHIPLEY,BRADFORD,WEST YORKSHIRE,55.10519713261649
BD19,CLECKHEATON,BRADFORD,WEST YORKSHIRE,29.999045801526716
BD19,CLECKHEATON,CALDERDALE,WEST YORKSHIRE,29.999045801526716
BD19,CLECKHEATON,KIRKLEES,WEST YORKSHIRE,29.999045801526716
BD20,KEIGHLEY,BRADFORD,WEST YORKSHIRE,38.488266384778
BD21,KEIGHLEY,BRADFORD,WEST YORKSHIRE,50.45493910690122
BD21,KEIGHLEY,KIRKLEES,WEST YORKSHIRE,50.45493910690122
BD22,KEIGHLEY,BRADFORD,WEST YORKSHIRE,42.48948004836759
BD22,KEIGHLEY,LEEDS,WEST YORKSHIRE,42.48948004836759
DE11,SWADLINCOTE,SHEFFIELD,SOUTH YORKSHIRE,34.69866117404738
DN10,DONCASTER,DONCASTER,SOUTH YORKSHIRE,30.315142857142856
DN11,DONCASTER,DONCASTER,SOUTH YORKSHIRE,28.861583577712608
DN12,DONCASTER,DONCASTER,SOUTH YORKSHIRE,50.15451761102604
DN12,DONCASTER,ROTHERHAM,SOUTH YORKSHIRE,50.15451761102604
DN14,GOOLE,DONCASTER,SOUTH YORKSHIRE,29.181433823529414
IP18,SOUTHWOLD,SHEFFIELD,SOUTH YORKSHIRE,33.75238095238095
LS10,LEEDS,LEEDS,WEST YORKSHIRE,49.154208273894426
LS11,LEEDS,LEEDS,WEST YORKSHIRE,55.18744650499287
LS12,LEEDS,LEEDS,WEST YORKSHIRE,56.23366120218579
LS13,LEEDS,LEEDS,WEST YORKSHIRE,61.491677675033024
LS14,LEEDS,KIRKLEES,WEST YORKSHIRE,56.719845360824735
LS14,LEEDS,LEEDS,WEST YORKSHIRE,56.719845360824735
LS14,LEEDS,WAKEFIELD,WEST YORKSHIRE,56.719845360824735
LS15,LEEDS,LEEDS,WEST YORKSHIRE,50.951847437425506
LS16,LEEDS,LEEDS,WEST YORKSHIRE,56.37035670356704
LS17,LEEDS,BRADFORD,WEST YORKSHIRE,58.472393247269125
LS17,LEEDS,KIRKLEES,WEST YORKSHIRE,58.472393247269125
LS17,LEEDS,LEEDS,WEST YORKSHIRE,58.472393247269125
LS18,LEEDS,LEEDS,WEST YORKSHIRE,52.38034825870647
LS19,LEEDS,BRADFORD,WEST YORKSHIRE,52.8
LS19,LEEDS,KIRKLEES,WEST YORKSHIRE,52.8
