"shortPostcode","Town","District","County","CrimeType","Year","Month","Population2022","Population2023","Population2024"
"S71","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",48575.3454273636,48794.339072178,49000.11461775
"S71","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Robbery",2022,"2022-05",48575.3454273636,48794.339072178,49000.11461775
"S72","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Robbery",2022,"2022-05",27434.2713170582,27557.954041611,27674.171478625
"S72","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",27434.2713170582,27557.954041611,27674.171478625
"S75","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",47175.1739718034,47387.855182857,47587.699302875
"S75","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Drugs",2022,"2022-05",47175.1739718034,47387.855182857,47587.699302875
"S75","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Robbery",2022,"2022-05",47175.1739718034,47387.855182857,47587.699302875
"S72","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Drugs",2022,"2022-05",27434.2713170582,27557.954041611,27674.171478625
"S71","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Drugs",2022,"2022-05",48575.3454273636,48794.339072178,49000.11461775
"S70","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Drugs",2022,"2022-05",42025.7025985337,42215.1682977885,42393.1981564375
"S70","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",42025.7025985337,42215.1682977885,42393.1981564375
"S70","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Robbery",2022,"2022-05",42025.7025985337,42215.1682977885,42393.1981564375
"S63","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Robbery",2022,"2022-05",41221.7401630768,41407.581335064,41582.205437
"S63","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Drugs",2022,"2022-05",41221.7401630768,41407.581335064,41582.205437
"S63","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",41221.7401630768,41407.581335064,41582.205437
"S73","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",29230.4727206362,29362.253312301,29486.079842375
"S73","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Drugs",2022,"2022-05",29230.4727206362,29362.253312301,29486.079842375
"DN5","DONCASTER","BARNSLEY","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",44216.8519010912,44416.196022576,44603.508058
"S73","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Robbery",2022,"2022-05",29230.4727206362,29362.253312301,29486.079842375
"HD7","HUDDERSFIELD","BARNSLEY","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",24536.5439924908,24647.162808534,24751.10485325
"S74","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",19163.088468293,19249.481978265,19330.660916875
"S74","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Robbery",2022,"2022-05",19163.088468293,19249.481978265,19330.660916875
"S74","BARNSLEY","BARNSLEY","SOUTH YORKSHIRE","Drugs",2022,"2022-05",19163.088468293,19249.481978265,19330.660916875
"DN10","DONCASTER","BASSETLAW","SOUTH YORKSHIRE","Drugs",2022,"2022-05",13077.6446768938,13136.603003349,13192.002701375
"S11","SHEFFIELD","DERBYSHIRE DALES","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",37204.0920838689,37371.8203759845,37529.4248619375
"DN8","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",18714.0381173985,18798.4071605925,18877.6838259375
"DN8","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Drugs",2022,"2022-05",18714.0381173985,18798.4071605925,18877.6838259375
"DN6","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Drugs",2022,"2022-05",33703.6634449684,33855.610652682,33998.38657475
"DN6","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",33703.6634449684,33855.610652682,33998.38657475
"DN6","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Robbery",2022,"2022-05",33703.6634449684,33855.610652682,33998.38657475
"DN7","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Drugs",2022,"2022-05",26629.226832563,26749.280151615,26862.087248125
"DN7","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Robbery",2022,"2022-05",26629.226832563,26749.280151615,26862.087248125
"DN7","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",26629.226832563,26749.280151615,26862.087248125
"DN5","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",44216.8519010912,44416.196022576,44603.508058
"DN3","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Vehicle crime",2022,"2022-05",32536.1325326427,32682.8161267335,32820.6461383125
"DN3","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Robbery",2022,"2022-05",32536.1325326427,32682.8161267335,32820.6461383125
"DN2","DONCASTER","DONCASTER","SOUTH YORKSHIRE","Drugs",2022,"2022-05",26565.3859393033,26685.1514425965,26797.6880954375
