URN,year,attainment_8_score,school_name,POSTCODE,shortPostcode,District,Town,County
146501,2022,39,Astrea Academy Dearne,S63 9EW,S63,Barnsley,Rotherham,SOUTH YORKSHIRE
146501,2022,39,Astrea Academy Dearne,S63 9EW,S63,Barnsley,Rotherham,SOUTH YORKSHIRE
146501,2022,39,Astrea Academy Dearne,S63 9EW,S63,Barnsley,Rotherham,SOUTH YORKSHIRE
146501,2022,39,Astrea Academy Dearne,S63 9EW,S63,Barnsley,Rotherham,SOUTH YORKSHIRE
146501,2022,39,Astrea Academy Dearne,S63 9EW,S63,Barnsley,Rotherham,SOUTH YORKSHIRE
131749,2022,40.8,Barnsley Academy,S70 3DL,S70,Barnsley,Barnsley,SOUTH YORKSHIRE
130524,2022,6,Barnsley College,S70 2YW,S70,Barnsley,Barnsley,SOUTH YORKSHIRE
146320,2022,51,Darton Academy,S75 5EF,S75,Barnsley,Barnsley,SOUTH YORKSHIRE
146320,2022,51,Darton Academy,S75 5EF,S75,Barnsley,Barnsley,WEST YORKSHIRE
144606,2022,42.8,Holy Trinity Catholic and Church of England School,S71 2LF,S71,Barnsley,Barnsley,SOUTH YORKSHIRE
144606,2022,42.8,Holy Trinity Catholic and Church of England School,S71 2LF,S71,Barnsley,Barnsley,WEST YORKSHIRE
146455,2022,51.5,Horizon Community College,S70 6PD,S70,Barnsley,Barnsley,SOUTH YORKSHIRE
140979,2022,50.6,Kirk Balk Academy,S74 9HX,S74,Barnsley,Barnsley,SOUTH YORKSHIRE
140979,2022,50.6,Kirk Balk Academy,S74 9HX,S74,Barnsley,Barnsley,SOUTH YORKSHIRE
140979,2022,50.6,Kirk Balk Academy,S74 9HX,S74,Barnsley,Barnsley,SOUTH YORKSHIRE
143907,2022,39.3,Netherwood Academy,S73 8FE,S73,Barnsley,Barnsley,SOUTH YORKSHIRE
143907,2022,39.3,Netherwood Academy,S73 8FE,S73,Barnsley,Barnsley,SOUTH YORKSHIRE
139210,2022,43.5,Outwood Academy Carlton,S71 3EW,S71,Barnsley,Barnsley,SOUTH YORKSHIRE
139210,2022,43.5,Outwood Academy Carlton,S71 3EW,S71,Barnsley,Barnsley,WEST YORKSHIRE
139211,2022,42.5,Outwood Academy Shafton,S72 8RE,S72,Barnsley,Barnsley,SOUTH YORKSHIRE
139211,2022,42.5,Outwood Academy Shafton,S72 8RE,S72,Barnsley,Barnsley,SOUTH YORKSHIRE
139211,2022,42.5,Outwood Academy Shafton,S72 8RE,S72,Barnsley,Barnsley,WEST YORKSHIRE
106653,2022,60.1,Penistone Grammar School,S36 7BX,S36,Barnsley,Sheffield,SOUTH YORKSHIRE
106653,2022,60.1,Penistone Grammar School,S36 7BX,S36,Barnsley,Sheffield,SOUTH YORKSHIRE
106965,2022,0.8,The Robert Ogden School,S63 0BG,S63,Barnsley,Barnsley,SOUTH YORKSHIRE
106965,2022,0.8,The Robert Ogden School,S63 0BG,S63,Barnsley,Barnsley,SOUTH YORKSHIRE
106965,2022,0.8,The Robert Ogden School,S63 0BG,S63,Barnsley,Barnsley,SOUTH YORKSHIRE
106965,2022,0.8,The Robert Ogden School,S63 0BG,S63,Barnsley,Barnsley,SOUTH YORKSHIRE
106965,2022,0.8,The Robert Ogden School,S63 0BG,S63,Barnsley,Barnsley,SOUTH YORKSHIRE
141563,2022,13.3,Springwell Special Academy,S71 2AY,S71,Barnsley,Barnsley,SOUTH YORKSHIRE
141563,2022,13.3,Springwell Special Academy,S71 2AY,S71,Barnsley,Barnsley,WEST YORKSHIRE
138314,2022,41.4,Armthorpe Academy,DN3 2DA,DN3,Doncaster,Doncaster,SOUTH YORKSHIRE
137066,2022,43.1,Ash Hill Academy,DN7 6JH,DN7,Doncaster,DONCASTER,SOUTH YORKSHIRE
